user_id,anime_watched_amount,watching_status_median
47,862,2.0
68,96,1.0
205,983,6.0
239,50,2.0
396,1,3.0
407,226,5.0
531,545,2.0
548,311,2.0
560,215,2.0
659,66,2.0
686,408,2.0
707,318,6.0
770,796,2.0
853,1737,2.0
934,671,3.0
972,101,2.0
1040,289,2.0
1139,754,2.0
1261,276,1.0
1328,99,2.0
1401,154,2.0
1410,18,2.0
1452,14,2.0
1470,1612,2.0
1498,871,2.0
1510,1,3.0
1512,84,2.0
1558,598,2.0
1728,229,2.0
1857,116,3.0
1885,96,2.0
1925,553,2.0
1929,227,2.0
2050,276,4.0
2055,150,2.0
2124,6,2.0
2221,114,2.0
2239,1069,6.0
2255,225,6.0
2290,387,2.0
2315,7,2.0
2325,319,2.0
2363,128,2.0
2400,1074,2.0
2410,606,2.0
2445,11,2.0
2607,287,2.0
2703,600,6.0
2717,114,2.0
2818,273,2.0
2838,156,2.0
2925,386,2.0
2959,280,2.0
3015,590,2.0
3060,76,2.0
3120,462,2.0
3138,398,2.0
3197,235,2.0
3289,361,2.0
3317,154,2.0
3353,199,6.0
3544,4,6.0
3636,237,3.0
3872,247,2.0
3967,188,2.0
3985,25,2.0
4022,19,2.0
4118,224,2.0
4153,311,2.0
4194,8,2.0
4197,150,2.0
4355,111,4.0
4664,356,6.0
4693,361,2.0
4732,563,2.0
4925,534,6.0
5084,71,2.0
5102,184,2.0
5164,13,2.0
5179,455,2.0
5206,568,2.0
5321,601,2.0
5519,129,2.0
5783,10,2.0
6164,739,3.0
6250,1,1.0
6357,412,2.0
6400,85,2.0
6552,24,6.0
6577,273,2.0
6613,180,2.0
6635,402,2.0
6638,646,2.0
6653,88,2.0
6884,695,2.0
6903,72,2.0
7008,190,2.0
7011,190,6.0
7109,381,3.0
7183,435,2.0
7375,175,2.0
7464,641,2.0
7678,390,2.0
7686,7,2.0
7712,4,2.0
7738,33,2.0
7758,300,6.0
7856,216,2.0
7899,295,2.0
7932,1326,2.0
8030,58,2.0
8100,1427,2.0
8135,218,3.0
8214,171,2.0
8260,294,2.0
8271,216,2.0
8282,193,2.0
8317,115,2.0
8331,598,2.0
8340,768,3.0
8341,56,2.0
8425,186,6.0
8457,53,2.0
8463,246,2.0
8556,37,2.0
8667,1394,6.0
8869,152,6.0
8889,404,2.0
8920,412,2.0
8961,72,2.0
9288,40,2.0
9442,1,1.0
9531,290,2.0
9544,112,2.0
9563,70,2.0
9626,120,2.0
9677,87,2.0
9797,345,2.0
9853,234,2.0
9903,198,4.0
9941,159,2.0
9996,296,2.0
10043,111,2.0
10160,438,2.0
10193,69,3.0
10250,27,6.0
10286,600,2.0
10323,355,2.0
10444,752,2.0
10511,117,2.0
10608,179,2.0
10696,427,2.0
10817,53,2.0
10968,493,2.0
11096,583,6.0
11097,1490,2.0
11166,117,2.0
11197,289,2.0
11217,7,2.0
11588,1137,2.0
11642,421,3.0
11667,660,2.0
11687,108,2.0
11738,483,2.0
11769,67,2.0
11857,32,2.0
12042,183,2.0
12067,246,2.0
12068,122,2.0
12195,168,2.0
12227,418,2.0
12273,68,2.0
